,title,pays,deadline,lien,remaining_times
1862,Poster For___. International Poster Competition,kenya,2023-12-31,https://www.j360.info/appels-d-offres/39350406-poster-for___-international-poster-competition/,83.0 days
1863,NOCTURNAL: A NIGHT PHOTOGRAPHY EXHIBITION,kenya,2023-10-12,https://www.j360.info/appels-d-offres/39350407-nocturnal-a-night-photography-exhibition/,3.0 days
1864,Rotterdam Photo 2024 - Project Open Call - Imagine,kenya,2023-10-15,https://www.j360.info/appels-d-offres/39350408-rotterdam-photo-2024-project-open-call-imagine/,6.0 days
1865,"Tender for Supply and Delivery of Office Equipment, Desktop Computers, Laptops, Printers, Photocopiers, Tablets and Ipads for the State Department for Water and Sanitation (Framework Agreement)",kenya,2023-10-15,https://www.j360.info/appels-d-offres/39326204-tender-for-supply-and-delivery-of-office-equipment-desktop-computers/,6.0 days
1866,Call for Competitions,kenya,2023-12-15,https://www.j360.info/appels-d-offres/39290610-call-for-competitions/,67.0 days
1867,"SUPPLY, INSTALLATION AND COMMISSIONING OF ENTERPRISE RISK MANAGEMENT AND AUDIT MANAGEMENT SYSTEM",kenya,2023-10-10,https://www.j360.info/appels-d-offres/39270852-supply-installation-and-commissioning-of-enterprise-risk-management-and-audit/,1.0 days
1868,Tender for Supply and Delivery Toners and Catridges for the State Department for Water and Sanitation,kenya,2023-10-12,https://www.j360.info/appels-d-offres/39256245-tender-for-supply-and-delivery-toners-and-catridges-for-the/,3.0 days
1869,SUPPLY AND DELIVERY OF ASSORTED ICT EQUIPMENT FOR MOWSI,kenya,2023-10-26,https://www.j360.info/appels-d-offres/39256242-supply-and-delivery-of-assorted-ict-equipment-for-mowsi/,17.0 days
1870,"DEVELOPMENT, SUPPLY, CONFIGURATION, INSTALLATION, TESTING, IMPLEMENTATION AND COMMISSIONING OF AN ONLINE PENSION MANAGEMENT INFORMATION SYSTEM",kenya,2023-10-10,https://www.j360.info/appels-d-offres/39256243-development-supply-configuration-installation-testing-implementation-and-commissioning-of-an/,1.0 days
1871,SUPPLY AND DELIVERY OF LAPTOP COMPUTERS AND ACCESSORIES,kenya,2023-10-10,https://www.j360.info/appels-d-offres/39240170-supply-and-delivery-of-laptop-computers-and-accessories/,1.0 days
1872,SUPPLY AND DELIVERY OF ALL IN ONE DESKTOP COMPUTERS,kenya,2023-10-10,https://www.j360.info/appels-d-offres/39240146-supply-and-delivery-of-all-in-one-desktop-computers/,1.0 days
1873,"AAP Magazine #35 Colors, $1,000 Cash Prizes + Publication",kenya,2023-10-10,https://www.j360.info/appels-d-offres/39239154-aap-magazine-35-colors-1000-cash-prizes-publication/,1.0 days
1874,The 5th Chelsea International Photography Competition,kenya,2023-10-23,https://www.j360.info/appels-d-offres/39239155-the-5th-chelsea-international-photography-competition/,14.0 days
1875,Chicco Launches New Product Design Challenge: Revolutionary,kenya,2023-10-31,https://www.j360.info/appels-d-offres/39239151-chicco-launches-new-product-design-challenge-revolutionary/,22.0 days
1876,MEDITATION ROOFS,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/39636888-meditation-roofs/,114.0 days
1877,"INTERNATIONAL CALL FOR ART, ArtMaze Magazine Edition 36",lesotho,2023-10-19,https://www.j360.info/appels-d-offres/39636887-international-call-for-art-artmaze-magazine-edition-36/,10.0 days
1878,FuturArc Prize 2024: Architecture for Life After,lesotho,2024-02-08,https://www.j360.info/appels-d-offres/39587188-futurarc-prize-2024-architecture-for-life-after/,122.0 days
1879,Safelight Paper Solo Shows - Berlin,lesotho,2023-10-29,https://www.j360.info/appels-d-offres/39576572-safelight-paper-solo-shows-berlin/,20.0 days
1880,TOP 100 BEST IMAGES of Campina Photographic Exhibitions Soci,lesotho,2023-11-01,https://www.j360.info/appels-d-offres/39488086-top-100-best-images-of-campina-photographic-exhibitions-soci/,23.0 days
1881,TOP 25 BEST AUTHORS of Campina Photographic Exhibitions Soci,lesotho,2023-11-01,https://www.j360.info/appels-d-offres/39467693-top-25-best-authors-of-campina-photographic-exhibitions-soci/,23.0 days
1882,Poster For___. International Poster Competition,lesotho,2023-12-31,https://www.j360.info/appels-d-offres/39350406-poster-for___-international-poster-competition/,83.0 days
1883,NOCTURNAL: A NIGHT PHOTOGRAPHY EXHIBITION,lesotho,2023-10-12,https://www.j360.info/appels-d-offres/39350407-nocturnal-a-night-photography-exhibition/,3.0 days
1884,Rotterdam Photo 2024 - Project Open Call - Imagine,lesotho,2023-10-15,https://www.j360.info/appels-d-offres/39350408-rotterdam-photo-2024-project-open-call-imagine/,6.0 days
1885,Call for Competitions,lesotho,2023-12-15,https://www.j360.info/appels-d-offres/39290610-call-for-competitions/,67.0 days
1886,"AAP Magazine #35 Colors, $1,000 Cash Prizes + Publication",lesotho,2023-10-10,https://www.j360.info/appels-d-offres/39239154-aap-magazine-35-colors-1000-cash-prizes-publication/,1.0 days
1887,The 5th Chelsea International Photography Competition,lesotho,2023-10-23,https://www.j360.info/appels-d-offres/39239155-the-5th-chelsea-international-photography-competition/,14.0 days
1888,Chicco Launches New Product Design Challenge: Revolutionary,lesotho,2023-10-31,https://www.j360.info/appels-d-offres/39239151-chicco-launches-new-product-design-challenge-revolutionary/,22.0 days
1889,CYCLIST HOUSE,lesotho,2023-12-31,https://www.j360.info/appels-d-offres/39239146-cyclist-house/,83.0 days
1890,2024 French Design Awards,lesotho,2023-10-17,https://www.j360.info/appels-d-offres/39239149-2024-french-design-awards/,8.0 days
1891,Submit your best architectural photo to Archinerds,lesotho,2024-12-31,https://www.j360.info/appels-d-offres/39202669-submit-your-best-architectural-photo-to-archinerds/,449.0 days
1892,"The Hopper Prize | $3,500 & $1,000 Artist Grants",lesotho,2023-11-13,https://www.j360.info/appels-d-offres/38998984-the-hopper-prize-3500-1000-artist-grants/,35.0 days
1893,2024 International Artist Grand Prize Competition,lesotho,2023-10-30,https://www.j360.info/appels-d-offres/38983922-2024-international-artist-grand-prize-competition/,21.0 days
1894,Call For Entry: Vices,lesotho,2023-10-15,https://www.j360.info/appels-d-offres/38983924-call-for-entry-vices/,6.0 days
1895,8th CAMPINA 2023 International Exhibition of Photography,lesotho,2023-11-01,https://www.j360.info/appels-d-offres/38983921-8th-campina-2023-international-exhibition-of-photography/,23.0 days
1896,TerraViva LOGO,lesotho,2023-11-10,https://www.j360.info/appels-d-offres/38983919-terraviva-logo/,32.0 days
1897,YICCA 23/24 - International Contest of Contemporary Art,lesotho,2023-10-26,https://www.j360.info/appels-d-offres/38983920-yicca-2324-international-contest-of-contemporary-art/,17.0 days
1898,DuPont™ Tyvek® Design Award 2023,lesotho,2023-11-30,https://www.j360.info/appels-d-offres/38714962-duponttm-tyvek-design-award-2023/,52.0 days
1899,Sony World Photography Awards 2024,lesotho,2024-01-12,https://www.j360.info/appels-d-offres/38632267-sony-world-photography-awards-2024/,95.0 days
1900,Sony Future Filmmaker Awards 2024,lesotho,2024-02-14,https://www.j360.info/appels-d-offres/38581925-sony-future-filmmaker-awards-2024/,128.0 days
1901,HIMALAYAN THERMAL BATHS,lesotho,2023-10-31,https://www.j360.info/appels-d-offres/38488608-himalayan-thermal-baths/,22.0 days
1902,Scenic Vistas Juried Art Competition | Call for Artists,lesotho,2023-10-28,https://www.j360.info/appels-d-offres/38152886-scenic-vistas-juried-art-competition-call-for-artists/,19.0 days
1903,FIT Sport Design Awards,lesotho,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
1904,Third Edition of SIT Furniture Design Award,lesotho,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
1905,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1906,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1907,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1908,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1909,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1910,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1911,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1912,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1913,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1914,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1915,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1916,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1917,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1918,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1919,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1920,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1921,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1922,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1923,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1924,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1925,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1926,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1927,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1928,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1929,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1930,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1931,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1932,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1933,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1934,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1935,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1936,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1937,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1938,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1939,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1940,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1941,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1942,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1943,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1944,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1945,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1946,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1947,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1948,LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1949,The Nature Photography Contest 2023,lesotho,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1950,THE LIV HOSPITALITY DESIGN AWARDS 2023,lesotho,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1951,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,lesotho,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1952,The 5th Chelsea International Photography Competition,lesotho,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1953,NOTICE OF REQUEST FOR INFORMATION - Procurement 1: Millennium Challenge Account Health System Strengthening Technical Assistance (MCA HSS TA),lesotho,,https://www.j360.info/appels-d-offres/33958940-notice-of-request-for-information-procurement-1-millennium-challenge/,nan days
1954,NOTICE OF REQUEST FOR INFORMATION - Procurement 6: Health Communications Services Provision (HCSP) Contract,lesotho,,https://www.j360.info/appels-d-offres/33958936-notice-of-request-for-information-procurement-6-health-communications/,nan days
1955,MEDITATION ROOFS,liberia,2024-01-31,https://www.j360.info/appels-d-offres/39636888-meditation-roofs/,114.0 days
1956,"INTERNATIONAL CALL FOR ART, ArtMaze Magazine Edition 36",liberia,2023-10-19,https://www.j360.info/appels-d-offres/39636887-international-call-for-art-artmaze-magazine-edition-36/,10.0 days
1957,FuturArc Prize 2024: Architecture for Life After,liberia,2024-02-08,https://www.j360.info/appels-d-offres/39587188-futurarc-prize-2024-architecture-for-life-after/,122.0 days
1958,Safelight Paper Solo Shows - Berlin,liberia,2023-10-29,https://www.j360.info/appels-d-offres/39576572-safelight-paper-solo-shows-berlin/,20.0 days
1959,TOP 100 BEST IMAGES of Campina Photographic Exhibitions Soci,liberia,2023-11-01,https://www.j360.info/appels-d-offres/39488086-top-100-best-images-of-campina-photographic-exhibitions-soci/,23.0 days
1960,TOP 25 BEST AUTHORS of Campina Photographic Exhibitions Soci,liberia,2023-11-01,https://www.j360.info/appels-d-offres/39467693-top-25-best-authors-of-campina-photographic-exhibitions-soci/,23.0 days
1961,Poster For___. International Poster Competition,liberia,2023-12-31,https://www.j360.info/appels-d-offres/39350406-poster-for___-international-poster-competition/,83.0 days
1962,NOCTURNAL: A NIGHT PHOTOGRAPHY EXHIBITION,liberia,2023-10-12,https://www.j360.info/appels-d-offres/39350407-nocturnal-a-night-photography-exhibition/,3.0 days
1963,Rotterdam Photo 2024 - Project Open Call - Imagine,liberia,2023-10-15,https://www.j360.info/appels-d-offres/39350408-rotterdam-photo-2024-project-open-call-imagine/,6.0 days
1964,Call for Competitions,liberia,2023-12-15,https://www.j360.info/appels-d-offres/39290610-call-for-competitions/,67.0 days
1965,"Remote monitoring software for installed facilities (stand-alone solar PV systems, SHS, & mini grids)",liberia,2023-10-16,https://www.j360.info/appels-d-offres/39270694-remote-monitoring-software-for-installed-facilities-stand-alone-solar-pv-systems/,7.0 days
1966,"AAP Magazine #35 Colors, $1,000 Cash Prizes + Publication",liberia,2023-10-10,https://www.j360.info/appels-d-offres/39239154-aap-magazine-35-colors-1000-cash-prizes-publication/,1.0 days
1967,The 5th Chelsea International Photography Competition,liberia,2023-10-23,https://www.j360.info/appels-d-offres/39239155-the-5th-chelsea-international-photography-competition/,14.0 days
1968,Chicco Launches New Product Design Challenge: Revolutionary,liberia,2023-10-31,https://www.j360.info/appels-d-offres/39239151-chicco-launches-new-product-design-challenge-revolutionary/,22.0 days
1969,CYCLIST HOUSE,liberia,2023-12-31,https://www.j360.info/appels-d-offres/39239146-cyclist-house/,83.0 days
1970,2024 French Design Awards,liberia,2023-10-17,https://www.j360.info/appels-d-offres/39239149-2024-french-design-awards/,8.0 days
1971,Submit your best architectural photo to Archinerds,liberia,2024-12-31,https://www.j360.info/appels-d-offres/39202669-submit-your-best-architectural-photo-to-archinerds/,449.0 days
1972,"The Hopper Prize | $3,500 & $1,000 Artist Grants",liberia,2023-11-13,https://www.j360.info/appels-d-offres/38998984-the-hopper-prize-3500-1000-artist-grants/,35.0 days
1973,2024 International Artist Grand Prize Competition,liberia,2023-10-30,https://www.j360.info/appels-d-offres/38983922-2024-international-artist-grand-prize-competition/,21.0 days
1974,Call For Entry: Vices,liberia,2023-10-15,https://www.j360.info/appels-d-offres/38983924-call-for-entry-vices/,6.0 days
1975,8th CAMPINA 2023 International Exhibition of Photography,liberia,2023-11-01,https://www.j360.info/appels-d-offres/38983921-8th-campina-2023-international-exhibition-of-photography/,23.0 days
1976,TerraViva LOGO,liberia,2023-11-10,https://www.j360.info/appels-d-offres/38983919-terraviva-logo/,32.0 days
1977,YICCA 23/24 - International Contest of Contemporary Art,liberia,2023-10-26,https://www.j360.info/appels-d-offres/38983920-yicca-2324-international-contest-of-contemporary-art/,17.0 days
1978,DuPont™ Tyvek® Design Award 2023,liberia,2023-11-30,https://www.j360.info/appels-d-offres/38714962-duponttm-tyvek-design-award-2023/,52.0 days
1979,Sony World Photography Awards 2024,liberia,2024-01-12,https://www.j360.info/appels-d-offres/38632267-sony-world-photography-awards-2024/,95.0 days
1980,Sony Future Filmmaker Awards 2024,liberia,2024-02-14,https://www.j360.info/appels-d-offres/38581925-sony-future-filmmaker-awards-2024/,128.0 days
1981,HIMALAYAN THERMAL BATHS,liberia,2023-10-31,https://www.j360.info/appels-d-offres/38488608-himalayan-thermal-baths/,22.0 days
1982,Scenic Vistas Juried Art Competition | Call for Artists,liberia,2023-10-28,https://www.j360.info/appels-d-offres/38152886-scenic-vistas-juried-art-competition-call-for-artists/,19.0 days
1983,FIT Sport Design Awards,liberia,2024-03-31,https://www.j360.info/appels-d-offres/37952478-fit-sport-design-awards/,174.0 days
1984,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
1985,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
1986,PPM - Multinational - Digitalisation of Government Payments in the Mano River Union (MRU) - Liberia,liberia,,https://www.j360.info/appels-d-offres/37932878-ppm-multinational-digitalisation-of-government-payments-in-the/,nan days
1987,LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1988,The Nature Photography Contest 2023,liberia,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1989,THE LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1990,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,liberia,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1991,The 5th Chelsea International Photography Competition,liberia,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1992,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
1993,PPM - Multinational - Digitalisation of Government Payments in the Mano River Union (MRU) - Liberia,liberia,,https://www.j360.info/appels-d-offres/37932878-ppm-multinational-digitalisation-of-government-payments-in-the/,nan days
1994,LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
1995,The Nature Photography Contest 2023,liberia,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
1996,THE LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
1997,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,liberia,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
1998,The 5th Chelsea International Photography Competition,liberia,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
1999,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
2000,PPM - Multinational - Digitalisation of Government Payments in the Mano River Union (MRU) - Liberia,liberia,,https://www.j360.info/appels-d-offres/37932878-ppm-multinational-digitalisation-of-government-payments-in-the/,nan days
2001,LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
2002,The Nature Photography Contest 2023,liberia,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
2003,THE LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
2004,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,liberia,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
2005,The 5th Chelsea International Photography Competition,liberia,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
2006,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
2007,PPM - Multinational - Digitalisation of Government Payments in the Mano River Union (MRU) - Liberia,liberia,,https://www.j360.info/appels-d-offres/37932878-ppm-multinational-digitalisation-of-government-payments-in-the/,nan days
2008,LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
2009,The Nature Photography Contest 2023,liberia,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
2010,THE LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
2011,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,liberia,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
2012,The 5th Chelsea International Photography Competition,liberia,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
2013,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
2014,PPM - Multinational - Digitalisation of Government Payments in the Mano River Union (MRU) - Liberia,liberia,,https://www.j360.info/appels-d-offres/37932878-ppm-multinational-digitalisation-of-government-payments-in-the/,nan days
2015,LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37611303-liv-hospitality-design-awards-2023/,114.0 days
2016,The Nature Photography Contest 2023,liberia,2023-11-15,https://www.j360.info/appels-d-offres/37548837-the-nature-photography-contest-2023/,37.0 days
2017,THE LIV HOSPITALITY DESIGN AWARDS 2023,liberia,2024-01-31,https://www.j360.info/appels-d-offres/37371817-the-liv-hospitality-design-awards-2023/,114.0 days
2018,CALL FOR ENTRIES - LIT LIGHTING DESIGN AWARDS 2023,liberia,2023-10-22,https://www.j360.info/appels-d-offres/35301218-call-for-entries-lit-lighting-design-awards-2023/,13.0 days
2019,The 5th Chelsea International Photography Competition,liberia,2023-10-24,https://www.j360.info/appels-d-offres/34740533-the-5th-chelsea-international-photography-competition/,15.0 days
2020,Third Edition of SIT Furniture Design Award,liberia,2024-04-14,https://www.j360.info/appels-d-offres/37952477-third-edition-of-sit-furniture-design-award/,188.0 days
