,title,pays,deadline,lien,remaining_times
54,"SUPPLY, DELIVERY, INSTALLATION AND MAINTAINING OF PERRFOMANCE MANAGEMENT SYSTEM",afrique-du-sud,2023-10-30,https://www.j360.info/appels-d-offres/39622280-supply-delivery-installation-and-maintaining-of-perrfomance-management-system/,21.0 days
55,Provision of an Framework for an integrated security system,afrique-du-sud,2023-10-23,https://www.j360.info/appels-d-offres/39622259-provision-of-an-framework-for-an-integrated-security-system/,14.0 days
56,Appointment of a service provider for the provisioning of internet services for the Nelson Mandela Museum at Qunu Youth & Heritage Centre.,afrique-du-sud,2023-10-12,https://www.j360.info/appels-d-offres/39611993-appointment-of-a-service-provider-for-the-provisioning-of-internet/,3.0 days
57,Design and installation of a 150Kw Battery backup system for existing Solar Plant,afrique-du-sud,2023-10-30,https://www.j360.info/appels-d-offres/39611988-design-and-installation-of-a-150kw-battery-backup-system-for/,21.0 days
58,APPOINTMENT OF A COMPETENT AND ACCREDITED SERVICE PROVIDER FOR THE PROVISION OF DIGITAL/ELECTRONIC SIGNATURES FOR A PERIOD OF TWELVE (12) MONTHS.,afrique-du-sud,2023-10-25,https://www.j360.info/appels-d-offres/39611991-appointment-of-a-competent-and-accredited-service-provider-for-the/,16.0 days
59,SUPPLY AND DELIVERY OF PORTABLE SOUND SYSTEMS FOR COMMUNICATIONS,afrique-du-sud,2023-10-09,https://www.j360.info/appels-d-offres/39611971-supply-and-delivery-of-portable-sound-systems-for-communications/,0.0 days
60,APPOINTMENT OF SUITABLE SERVICE PROVIDERS OR IMPLEMENTING AGENTS TO SUPPORT THE IMPLEMENTATION OF THE COMMUNITY WORK PROGRAMME (CWP) FOR A PERIOD OF SIX (06) MONTHS.,afrique-du-sud,2023-10-26,https://www.j360.info/appels-d-offres/39611972-appointment-of-suitable-service-providers-or-implementing-agents-to-support/,17.0 days
61,"INVITATION OF PROSPECTIVE BIDDERS FOR SUPPLY, SETUP AND DELIVERY OF EIGHT (8) HIGH VOLUME IMAGE SCANNERS FOR THE EASTERN CAPE REGION AS PER SITA RFB 740.",afrique-du-sud,2023-10-26,https://www.j360.info/appels-d-offres/39611964-invitation-of-prospective-bidders-for-supply-setup-and-delivery-of/,17.0 days
62,Leasing of photocopier machine for the period of 36 months,afrique-du-sud,2023-10-24,https://www.j360.info/appels-d-offres/39611951-leasing-of-photocopier-machine-for-the-period-of-36-months/,15.0 days
63,"APPOINTMENT OF A SUITABLE SERVICE PROVIDER WHO WILL PROVIDE THREE DAY TRAINING ON RESEARCH DATA ANALYSIS AND INTERPRETATION, LOGICAL FRAMEWORK APPROACH AND REPORT WRITING FOR THE UDA STAFF",afrique-du-sud,2023-10-10,https://www.j360.info/appels-d-offres/39596422-appointment-of-a-suitable-service-provider-who-will-provide-three/,1.0 days
